年份,APA格式的引用,文献类型/期刊,X,Y,M,模型,识别策略,样本与数据,研究问题,摘要,相近程度,与主人选题关系,可迁移设计,排雷提醒,本地PDF
2025,"杨锐、黄敏敏、陈艳. (2025). 城市数据基础设施如何赋能企业数据资产化: 能力与市场双重基础. 会计研究, 2025(12), 105-118.",中文顶刊/会计研究,"城市数据基础设施: 以2016年国家大数据综合试验区设立作为准自然实验; Data_infra = Treat × Post, 处理组城市在获批当年及之后取1。",企业数据资产化 Data_value: 年报MD&A中“数据资产”词典与“价值实现”行动词词典在句子层面的共现比例; 使用Word2Vec扩展词典并人工校验。,数字决策敏觉性/动态能力; 城市创业生态/数据应用场景。,企业-城市-年份面板DID: Data_value_ijt = α Data_infra_jt + 企业控制 + 城市控制 + 企业FE + 年份FE + ε; 另做机制、异质性和经济后果检验。,多期DID; 平行趋势; 并行政策控制(宽带中国、供应链创新与应用试点、数字政府试点等); PSM-DID; 熵平衡; 时间/空间安慰剂; 历史-地理工具变量。,2008-2022年A股上市公司; CSMAR/Wind企业数据; CNRDS/EPS/城市统计年鉴/工商注册等城市数据; 年报MD&A文本。,城市层面的数据基础设施能否推动企业把数据资源转化为可产生价值的资产。,"论文发现国家大数据综合试验区显著提升企业数据资产化水平, 作用在低组织惯性企业、高数据化成熟行业和企业家精神活跃城市更强。机制来自企业内部数字决策能力和城市外部创业生态。",极高,"直接占掉“城市数据基础设施→企业数据资产化”。若再用数据资产化作Y, 新意不足。",X可作为城市数据基础设施政策冲击; 机制中的“数字决策敏觉性”和“城市创业生态”可转为企业创新韧性的机制或边界条件。,"不能再做同一个X加近似文本Y; 如果保留国家大数据综合试验区, Y必须明显换成企业创新韧性/冲击恢复能力。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/城市数据基础设施如何赋能企业数据资产化：能力与市场双重基础_杨锐 (1).pdf
2026,"马光源、靳庆鲁. (2026). 公共数据开放、公司投资决策与期权价值. 会计研究, 2026(2).",中文顶刊/会计研究,"公共数据开放 DP: 企业当期所在城市已建立公共数据开放平台取1, 否则取0。",公司投资决策/资本逐利能力 FINV_{t+1}; 增长期权价值 MV/BV; 清算期权价值 MV/E。,信息效应: 投资机会识别、外部信息环境、信息分散、经济政策不确定性和环境不确定性。,"核心不是DP主效应, 而是 Growth × DP 解释下一期投资; 期权价值部分使用 Gh×E/BV×DP 和 Dh×BV/E×DP 等三重交互。",公共数据开放平台分批上线的准自然实验; 企业FE和年份FE; 平行趋势; 提前政策安慰剂; Gardner两阶段DID; 熵平衡; 随机化安慰剂; 区域控制与窗口期稳健性。,2003-2021年A股上市公司; 公共数据开放平台手工整理; 其他数据来自CSMAR。,"公共数据开放是否通过降低信息摩擦, 帮助企业更好地根据投资机会调整资本配置并提升期权价值。","公共数据开放提升企业资本跟随投资机会的能力, 并提高增长期权和清算期权价值。效应在外部信息环境差、不确定性高、高新技术企业、竞争强、数字创新高和信息捕捉能力强的企业更明显。",高,"提供了会计研究式识别模板: 不只看城市政策主效应, 而看政策是否增强企业对机会/冲击的反应能力。","把我们的模型写成 DataInfra/OpenData × 企业事前数据需求 或 × 外部冲击, 检验创新韧性而非平均创新水平。","公共数据开放→企业数字创新/投资已经被做得很近; 必须强调“韧性/恢复/抵抗”, 不能只做创新数量。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/公共数据开放、公司投资决策与期权价值_马光源.pdf
2026,"Jiang, W., Jiang, N., & Yu, D. (2026). Network infrastructure construction and digital innovation resilience: Evidence from Broadband China policy. Information Processing & Management, 63, 104758. https://doi.org/10.1016/j.ipm.2026.104758",英文AJG3相近/Information Processing & Management,"网络基础设施建设 BC: 城市是否被纳入宽带中国试点, 试点当年及之后取1。","城市数字创新韧性 DIR: 以城市数字专利增长相对区域整体数字专利增长的偏离构造RES, 再标准化。","数字鸿沟、跨城创新协作、数字金融; 其中数字鸿沟收窄和创新协作显著, 数字金融不支持。",城市层面多期DID: DIR_it = β BC_it + 控制变量 + 城市FE + 年份FE + ε; 另做机制和异质性。,宽带中国分批试点DID; 平行趋势; 熵平衡; PSM; 地形崎岖度×时间工具变量; DDML-DID; SDID; Sun-Abraham; 并行政策控制。,2011-2023年271个地级市; 数字专利来自CNIPA并按数字经济核心产业IPC识别; 试点名单来自工信部。,网络基础设施建设能否增强城市数字创新系统面对不确定风险时的韧性。,"宽带中国显著提升城市数字创新韧性, 效应在传统基础设施水平高、知识产权保护低、政府科教支持强的城市更明显。",极高,"这是最接近原题的英文文献, 但Y是城市层面, 不是企业层面。我们的空间在企业层面韧性。","可直接借鉴数字创新韧性的相对增长公式, 但把城市数字专利替换为企业数字专利/发明专利, 再相对行业或城市基准计算。",不能再做城市层面“基础设施→数字创新韧性”; 需要企业层面Y和更强的暴露识别。,/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/Network infrastructure construction and digital innovation resilience_ Evidence from Broadband China policy.pdf
2025,"Jing, R., Xu, Y., & Liu, R. (2025). Data element, big data and enterprise innovation: Evidence from data trading platforms and national big data comprehensive pilot zones. International Review of Financial Analysis, 105, 104426. https://doi.org/10.1016/j.irfa.2025.104426",英文AJG3相近/International Review of Financial Analysis,"数据交易平台与国家大数据综合试验区双政策: Treat × Element × Pilot, 同时受到数据交易平台和大数据试验区影响的城市企业为处理组。",企业创新能力 Innovation: 熵权法综合R&D投入强度、发明专利申请、专利知识宽度、无形资产增长。,文中主要作为调节/条件变量: 产业结构升级、金融发展、人力资本积累; 异质性包括产权、规模、技术禀赋、市场竞争。,企业面板DID: Innovation_it = γ Treat×Element×Pilot_it + Controls + Firm FE + Year FE + ε; 另比较单政策与双政策。,双政策准自然实验DID; 平行趋势; 替换Y; 剔除直辖市/省会; 缩短样本窗口; 加行业-年份FE; 历史-地理工具变量; 安慰剂。,"2009-2022年A股上市公司, 22,095个观测; 剔除ST、金融业并1%缩尾。",数据要素市场建设与大数据政策是否协同提升企业创新能力。,"数据交易平台和国家大数据综合试验区显著提升企业创新能力, 双政策联合实施强于单一政策。效应在产业结构优化、金融环境良好、人力资本丰富地区更强。",极高,"直接覆盖“数据要素/大数据政策→企业创新能力”, 是我们必须避开的核心竞争文献。","可借鉴双政策交互X, 但我们的Y应从“创新能力/水平”改成“创新韧性/冲击后恢复”。","若只做企业创新数量、质量或综合创新能力, 会撞车; 需要引入冲击场景或相对恢复度。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/1-s2.0-S1057521925005137-main.pdf
2025,"Zhang, X., Zhao, T., Chen, R., & Li, G. (2025). Big Data Pilot Zones and Supply Chain Resilience: Quasi-Experimental Evidence From China. Journal of Business Logistics, 46, e70026. https://doi.org/10.1111/jbl.70026",英文AJG3/供应链顶级相关,"国家大数据综合试验区 BDPZ: 企业所在城市是否设立大数据试验区, treat×post。",企业供应链韧性 SCR: 熵权法综合供应链抵抗能力、恢复能力、效率三类10个指标。,产品竞争力提升、融资约束缓解、数字化转型加速。,季度企业面板的交错DID: SCR_it = α treat_i×post_t + controls + FE + ε; 机制和异质性检验。,交错DID; 平行趋势; 随机安慰剂; IV; 竞争性数字政策控制; PSM-DID; 替换Y; 聚类和固定效应调整。,"2009Q2-2023Q4中国A股上市公司季度数据; 117,188个季度观测, 3,499家企业; CSMAR和政府试点名单。","国家大数据综合试验区能否提升微观企业供应链韧性, 以及通过哪些通道实现。","大数据试验区显著提升企业供应链韧性, 机制包括增强产品竞争力、缓解融资约束和促进数字化转型。效应因企业生命周期、行业竞争和交通便利程度而异。",高,"占掉“大数据试验区→企业韧性”的一个重要邻近Y, 但它是供应链韧性, 不是创新韧性。","可借鉴“抵抗-恢复-效率”的多维韧性构造思路, 为企业创新韧性设计“抗跌、恢复、持续创新”指标。","若我们用“大数据试验区→企业韧性”泛化叙述, 会被这篇压住; 必须明确创新系统/专利输出韧性。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/J of Business Logistics - 2025 - Zhang - Big Data Pilot Zones and Supply Chain Resilience Quasi‐Experimental Evidence From.pdf
2025,"Zhao, X., & Dong, F. (2025). Digital infrastructure construction and corporate innovation efficiency: Evidence from Broadband China Strategy. Humanities and Social Sciences Communications, 12, 347. https://doi.org/10.1057/s41599-025-04614-4",英文综合期刊/企业创新效率,"数字基础设施建设: 宽带中国试点 did = group × time, 企业所在城市纳入试点后取1。","企业创新效率 Inoeff: DEA方法, 以R&D费用为创新投入, 三类专利总量为创新产出。",融资约束为负向调节; 人力资本为正向调节。,多期DID: Inoeff_it = α did_it + controls + firm FE + year FE + ε; 另做调节模型 did×M。,宽带中国准自然实验; 平行趋势; PSM-DID; 安慰剂; 排除智慧城市等其他政策; DIDM处理异质性处理效应。,2010-2022年沪深A股上市公司; 工信部宽带中国试点名单; 企业财务与专利数据。,"数字基础设施建设是否提升企业创新效率, 以及融资约束和人力资本如何影响该效应。","宽带中国显著提升企业创新效率, 效应在非国企、非高新技术企业和非东部地区企业更明显。",中高,"覆盖“宽带中国→企业创新效率”, 但不是数据基础设施/公共数据开放, 也不是韧性。","可作为企业层面创新Y的参照, 但我们应避免只用DEA创新效率。","如果用宽带中国作X, 与Jiang和Zhao都重叠; 更建议用公共数据开放/数据交易/大数据试验区并做企业暴露交互。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/s41599-025-04614-4.pdf
2023,"方锦程、刘颖、高昊宇、董纪昌、吕本富. (2023). 公共数据开放能否促进区域协调发展?——来自政府数据平台上线的准自然实验. 管理世界, 2023(9), 124-142.",中文顶刊/管理世界,"公共数据开放 DATA: 城市公共数据开放平台上线当年及以后取1。平台需为地方政府推动、域名含gov等官方平台, 上线时间手工搜集。","区域协调发展: 城市内部区域发展水平差距 INEQ, 主要基于夜间灯光度量; 发展差距越低表示协调发展越好。",破除区域信息壁垒; 弥合区域资源禀赋差距; 进一步考察要素流通和普惠发展。,城市层面多期DID: INEQ_it = β DATA_it + controls + city FE + year FE + city trend + ε。,公共数据开放平台上线准自然实验; 平行趋势; 安慰剂; 工具变量(历史市委书记籍贯特征×全国宽带接入端口); 竞争性政策控制; PSM-DID; 替换夜间灯光差距指标。,"2009-2021年295个城市, 3,835个城市-年度观测; 公共数据平台上线时间手工搜集; 夜间灯光和城市统计数据。",公共数据开放是扩大区域差距还是促进城市内部协调发展。,"公共数据开放显著降低城市内部区域发展差距, 平台上线后差距平均下降约4.23%。机制来自破除信息壁垒和弥合资源禀赋差距。",中,"提供公共数据开放X的权威构造方法, 但Y是城市协调发展。",公共数据开放平台清单、官方平台筛选规则、上线时间构造可直接迁移。,城市层面Y不能直接搬到企业; 这篇说明公共数据开放本身已有成熟城市层面结果。,/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/公共数据开放能否促进区域协调发展？——来自政府数据平台上线的准自然实验_方锦程.pdf
2024,"蔡运坤、周京奎、袁旺平. (2024). 数据要素共享与城市创业活力——来自公共数据开放的经验证据. 数量经济技术经济研究, 2024(8), 5-25.",中文顶刊/数量经济技术经济研究,"公共数据开放 open: 城市上线公共数据开放平台当年及以后取1, open = treat × post。","城市创业活力: 城市每百人口中新注册企业数量, 由工商注册企业数据按城市-年份汇总。",制度性交易成本降低; 信息搜寻匹配效率优化。,城市层面多期DID: entre_activation_it = β open_it + controls + city FE + year FE + ε; 另做异质性和行业类型分解。,公共数据开放准自然实验; 事前变量×时间趋势; 平行趋势; Goodman-Bacon分解和堆叠DID; 安慰剂; 竞争性政策控制; PSM-DID; 工具变量; 双重机器学习。,2007-2021年296个地级市及以上城市非平衡面板; 中国城市统计年鉴; 工商注册企业数据; 公共数据开放报告与交叉验证。,"公共数据开放是否激发城市创业活力, 并通过政府治理逻辑和市场效益逻辑发挥作用。","公共数据开放显著提升城市创业活力, 尤其促进服务业和生产性服务业创业。区域要素禀赋与非正式制度环境强化该效应, 且公共数据开放可弥补初始数字基础设施支持不足。",中,为杨锐论文的城市创业生态机制提供前置证据; 也能解释数据基础设施如何形成外部应用场景。,"创业活力可作为机制或城市生态边界, 不适合作主Y; 可用作“城市数据应用场景丰富度”的代理。",不要把城市创业活力再包装成企业创新韧性; 它更适合做外部生态机制。,/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/数据要素共享与城市创业活力——来自公共数据开放的经验证据_蔡运坤.pdf
2025,"郑志强、何佳俐、陈尧. (2025). 公共数据开放与企业数字技术创新. 财经研究, 51(2), 19-33. https://doi.org/10.16538/j.cnki.jfe.20241115.301",中文CSSCI/企业数字创新直接邻近,公共数据开放 Dataopen: 企业所在城市公共数据开放平台上线当年及以后取1。平台上线时间来自《中国地方政府数据开放报告(城市)》《中国政府开放数据利用研究报告》与百度搜索交叉验证。,"企业数字技术创新 Diginnov: 按IPC识别数字技术专利, 企业年度数字技术专利申请数+1取自然对数; 进一步区分数字技术发明专利和实用新型。",强化数据要素供给; 促进企业数字化投资; 降低政策不确定性感知。,"企业-城市-年份DID: Diginnov_ijt = β Dataopen_jt + controls + year FE + firm FE + ε, 标准误聚类到城市。",公共数据开放平台上线准自然实验; 平行趋势; IV(1984年城市人均邮电业务量×全国邮电业务增长率); PSM-DID; 预期效应; 安慰剂; 省级平台/宽带中国等竞争性政策控制; 空间溢出和滞后检验。,2010-2021年A股上市公司; CSMAR企业数据; 中国城市统计年鉴; 公共数据开放报告; IPC-数字经济核心产业映射。,公共数据开放能否从数据要素供给视角激励企业数字技术创新。,"公共数据开放显著促进企业数字技术创新, 主要体现在数字技术发明创新。效应在非国企和数字基础设施较完善地区更强, 且公共数据开放质量越高, 企业数字技术创新越高。",极高,"最直接撞到“公共数据开放→企业数字创新”的中文文献。我们的Y必须换成创新韧性, 不能只是数字专利数量。",数字技术专利识别口径可迁移; Dataopen构造也可迁移; 可把Y从水平改成相对冲击恢复或持续创新能力。,"若做公共数据开放→企业数字技术创新, 已经被做掉; 需要强调韧性的时间动态和外部冲击。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/公共数据开放与企业数字技术创新_郑志强.pdf
2023,"Boh, W., Constantinides, P., Padmanabhan, B., & Viswanathan, S. (2023). Building digital resilience against major shocks. MIS Quarterly, 47(1), 343-360.",英文UTD/MISQ理论锚,"数字技术/数字能力的使用, 包括数据收集、分析、共享、智能感知、云、协作平台等。",数字韧性: 使用数字技术形成吸收重大冲击、适应扰动、转化到新稳定状态的能力。,吸收(absorb)、适应(adapt)、转化(transform)三类韧性能力; 数字技术特征与组织条件共同作用。,"特殊议题导论/理论框架, 不是因果识别型实证。",不适用; 文献整合和理论框架建构。,整合MISQ special issue中围绕COVID-19等重大冲击的研究。,数字技术如何帮助不同主体在重大冲击中建立韧性能力。,"论文提出digital resilience概念, 强调数字技术不是一般数字化能力, 而是在重大冲击前后形成吸收、适应和转化能力。",理论高,"提供“韧性”理论定义, 可以帮我们把Y从一般创新绩效拉到冲击响应能力。",企业创新韧性可以分为抗跌、恢复、转化三个维度; 叙述中必须有外部冲击或不确定环境。,"它不是识别模板; 不能用它证明政策因果, 只能做理论基础。",/Users/mac/computerscience/23选题探索/bib/创新韧性文献/bib/MISQ Special Issue Introduction_ Building Digital Resilience against Major Shocks.pdf
